,uf,numero de acidentes
2018,AM,124
2018,AP,173
2018,AC,235
2018,RR,236
2018,SE,559
2018,TO,589
2018,AL,691
2018,DF,867
2018,PA,1260
2018,MA,1272
2018,PI,1371
2018,RN,1416
2018,MS,1530
2018,PB,1588
2018,RO,1629
2018,CE,1697
2018,MT,2631
2018,ES,2642
2018,PE,2715
2018,GO,3464
2018,BA,3555
2018,RS,4445
2018,SP,4516
2018,RJ,4575
2018,PR,7952
2018,SC,8497
2018,MG,9066
2019,AM,101
2019,AP,128
2019,RR,237
2019,AC,254
2019,TO,520
2019,SE,612
2019,AL,629
2019,PA,817
2019,MA,1075
2019,DF,1090
2019,PI,1346
2019,MS,1435
2019,RN,1437
2019,RO,1533
2019,PB,1564
2019,CE,1694
2019,MT,2137
2019,PE,2736
2019,ES,2842
2019,GO,3354
2019,BA,3471
2019,SP,4377
2019,RS,4595
2019,RJ,4606
2019,PR,7708
2019,SC,8428
2019,MG,8720
2020,AM,138
2020,AP,155
2020,RR,250
2020,AC,300
2020,SE,575
2020,TO,595
2020,AL,628
2020,PA,963
2020,DF,1040
2020,MA,1154
2020,PI,1203
2020,RN,1337
2020,PB,1401
2020,RO,1486
2020,MS,1540
2020,CE,1571
2020,MT,2195
2020,ES,2534
2020,PE,2560
2020,GO,3228
2020,BA,3456
2020,SP,4043
2020,RS,4176
2020,RJ,4236
2020,PR,7190
2020,SC,7220
2020,MG,8374
2021,AM,93
2021,AP,170
2021,AC,255
2021,RR,268
2021,TO,501
2021,SE,509
2021,AL,580
2021,PA,844
2021,DF,981
2021,MA,1130
2021,PI,1137
2021,RN,1337
2021,RO,1419
2021,PB,1440
2021,CE,1543
2021,MS,1642
2021,MT,2138
2021,ES,2525
2021,PE,2555
2021,GO,3187
2021,BA,3311
2021,SP,4300
2021,RS,4538
2021,RJ,4565
2021,PR,7335
2021,SC,7889
2021,MG,8323
